,HOMETEAM,AWAYTEAM,FTHG,FTR,HTHG,HTAG,HTR,HC,AC,HY,AY,HOMETEAM_VALUE,AWAYTEAM_VALUE,HOMETEAM_AVG_VALUE,AWAYTEAM_AVG_VALUE,HOMETEAM_AVG_AGE,AWAYTEAM_AVG_AGE,B365OVER2_5,B365UNDER2_5,B365H,B365D,B365A,DIV,HOMETEAM_n,AWAYTEAM_n,HTR_n
84,Leicester,Burnley,2,H,1,1,D,9,4,0,3,505250000,192750000,19430000,8030000,26.7,29.1,1.9,1.9,1.57,4.0,6.0,J Moss,8,4,1
85,Tottenham,Watford,1,D,0,1,A,11,2,4,3,977000000,234000000,36190000,7550000,26.4,27.6,1.53,2.5,1.4,5.0,7.5,C Kavanagh,16,17,0
86,Wolves,Southampton,1,D,0,0,D,1,3,3,2,330800000,227000000,12720000,9870000,25.4,25.9,2.1,1.72,1.8,3.6,4.5,P Bankes,19,15,1
87,Crystal Palace,Man City,0,A,0,2,A,1,8,1,1,232800000,1300000000,9310000,52190000,28.8,27.4,1.44,2.75,12.0,7.0,1.22,A Taylor,6,10,0
88,Man United,Liverpool,1,D,1,0,H,3,1,0,1,744250000,1190000000,29770000,46660000,25.8,27.9,1.72,2.1,5.25,3.8,1.65,M Atkinson,11,9,2
89,Sheffield United,Arsenal,1,H,1,0,H,7,12,4,4,119200000,682750000,4260000,27310000,28.3,25.1,1.66,2.2,3.9,3.75,1.9,M Dean,14,0,2
90,Southampton,Leicester,0,A,0,5,A,2,7,0,0,227000000,505250000,9870000,19430000,25.9,26.7,2.0,1.8,3.1,3.4,2.3,A Marriner,15,8,0
91,Man City,Aston Villa,3,H,0,0,D,13,7,1,1,1300000000,261900000,52190000,9700000,27.4,27.0,1.22,4.33,1.08,11.0,26.0,G Scott,10,1,1
92,Brighton,Everton,3,H,1,1,D,0,5,2,1,214750000,480700000,8260000,19230000,27.8,27.3,2.0,1.8,2.9,3.25,2.5,A Madley,3,7,1
93,Watford,Bournemouth,0,D,0,0,D,5,10,5,3,234000000,343750000,7550000,11460000,27.6,26.0,1.66,2.2,2.15,3.6,3.25,M Dean,17,2,1
94,West Ham,Sheffield United,1,D,1,0,H,10,4,2,2,338750000,119200000,14110000,4260000,28.7,28.3,1.9,1.9,2.1,3.5,3.5,D Coote,18,14,2
95,Burnley,Chelsea,2,A,0,2,A,5,6,3,2,192750000,844250000,8030000,32470000,29.1,26.3,1.66,2.2,4.5,4.0,1.72,M Oliver,4,5,0
96,Newcastle,Wolves,1,D,1,0,H,3,6,2,2,293830000,330800000,9180000,12720000,27.3,25.4,2.5,1.53,3.0,3.1,2.55,K Friend,12,19,2
97,Arsenal,Crystal Palace,2,D,2,1,H,12,5,2,0,682750000,232800000,27310000,9310000,25.1,28.8,1.53,2.5,1.45,4.75,6.5,M Atkinson,0,6,2
98,Liverpool,Tottenham,2,H,0,1,A,8,3,3,3,1190000000,977000000,46660000,36190000,27.9,26.4,1.53,2.5,1.5,4.33,6.5,A Taylor,9,16,0
99,Norwich,Man United,1,A,0,2,A,1,10,2,2,152350000,744250000,6350000,29770000,27.6,25.8,1.66,2.2,4.33,4.0,1.75,S Attwell,13,11,0
100,Bournemouth,Man United,1,H,1,0,H,4,10,4,3,343750000,744250000,11460000,29770000,26.0,25.8,1.9,1.9,3.25,3.6,2.15,C Kavanagh,2,11,2
101,Arsenal,Wolves,1,D,1,0,H,8,9,0,2,682750000,330800000,27310000,12720000,25.1,25.4,1.72,2.1,1.75,3.75,4.75,M Oliver,0,19,2
102,Aston Villa,Liverpool,1,A,1,0,H,2,10,1,2,261900000,1190000000,9700000,46660000,27.0,27.9,1.44,2.75,9.0,5.0,1.33,J Moss,1,9,2
103,Brighton,Norwich,2,H,0,0,D,8,3,0,1,214750000,152350000,8260000,6350000,27.8,27.6,1.66,2.2,1.72,4.2,4.33,K Friend,3,13,1
104,Man City,Southampton,2,H,0,1,A,17,0,3,1,1300000000,227000000,52190000,9870000,27.4,25.9,1.22,4.33,1.07,13.0,23.0,L Mason,10,15,0
105,Sheffield United,Burnley,3,H,3,0,H,7,6,1,2,119200000,192750000,4260000,8030000,28.3,29.1,2.3,1.61,2.25,3.2,3.4,S Hooper,14,4,2
106,West Ham,Newcastle,2,A,0,2,A,7,3,2,1,338750000,293830000,14110000,9180000,28.7,27.3,1.8,2.0,1.75,3.8,4.5,S Attwell,18,12,0
107,Watford,Chelsea,1,A,0,1,A,1,6,4,2,234000000,844250000,7550000,32470000,27.6,26.3,1.61,2.3,5.0,4.33,1.61,A Taylor,17,5,0
108,Crystal Palace,Leicester,0,A,0,0,D,5,6,2,2,232800000,505250000,9310000,19430000,28.8,26.7,2.0,1.8,3.5,3.4,2.1,P Tierney,6,8,1
109,Everton,Tottenham,1,D,0,0,D,5,2,1,2,480700000,977000000,19230000,36190000,27.3,26.4,1.72,2.1,2.7,3.4,2.6,M Atkinson,7,16,1
110,Norwich,Watford,0,A,0,1,A,10,4,1,2,152350000,234000000,6350000,7550000,27.6,27.6,1.66,2.2,2.7,3.5,2.55,A Marriner,13,17,0
111,Chelsea,Crystal Palace,2,H,0,0,D,7,0,3,2,844250000,232800000,32470000,9310000,26.3,28.8,1.57,2.37,1.33,5.0,10.0,M Dean,5,6,1
112,Burnley,West Ham,3,H,2,0,H,11,4,2,1,192750000,338750000,8030000,14110000,29.1,28.7,1.66,2.2,2.25,3.5,3.1,K Friend,4,18,2
113,Newcastle,Bournemouth,2,H,1,1,D,5,4,2,0,293830000,343750000,9180000,11460000,27.3,26.0,2.0,1.8,2.55,3.25,2.8,M Atkinson,12,2,1
114,Southampton,Everton,1,A,0,1,A,5,9,1,1,227000000,480700000,9870000,19230000,25.9,27.3,1.9,1.9,2.9,3.3,2.45,P Tierney,15,7,0
115,Tottenham,Sheffield United,1,D,0,0,D,4,4,2,2,977000000,119200000,36190000,4260000,26.4,28.3,1.8,2.0,1.57,4.0,6.0,G Scott,16,14,1
116,Leicester,Arsenal,2,H,0,0,D,5,4,1,1,505250000,682750000,19430000,27310000,26.7,25.1,1.57,2.37,2.0,3.75,3.5,C Kavanagh,8,0,1
117,Man United,Brighton,3,H,2,0,H,5,2,2,5,744250000,214750000,29770000,8260000,25.8,27.8,2.0,1.8,1.6,3.75,6.5,J Moss,11,3,2
118,Wolves,Aston Villa,2,H,1,0,H,6,3,4,3,330800000,261900000,12720000,9700000,25.4,27.0,1.9,1.9,1.9,3.5,4.2,A Taylor,19,1,2
119,Liverpool,Man City,3,H,2,0,H,4,13,0,2,1190000000,1300000000,46660000,52190000,27.9,27.4,1.66,2.2,2.5,3.6,2.62,M Oliver,9,10,2
120,West Ham,Tottenham,2,A,0,2,A,3,7,3,2,338750000,977000000,14110000,36190000,28.7,26.4,1.53,2.5,4.2,4.33,1.7,M Oliver,18,16,0
121,Arsenal,Southampton,2,D,1,1,D,6,8,6,2,682750000,227000000,27310000,9870000,25.1,25.9,1.44,2.75,1.45,4.75,6.5,S Attwell,0,15,1
122,Bournemouth,Wolves,1,A,0,2,A,5,9,2,1,343750000,330800000,11460000,12720000,26.0,25.4,2.0,1.8,2.75,3.3,2.6,S Hooper,2,19,0
123,Brighton,Leicester,0,A,0,0,D,6,7,2,0,214750000,505250000,8260000,19430000,27.8,26.7,1.9,1.9,3.75,3.5,2.0,M Dean,3,8,1
124,Crystal Palace,Liverpool,1,A,0,0,D,9,8,0,1,232800000,1190000000,9310000,46660000,28.8,27.9,1.66,2.2,7.5,4.75,1.4,K Friend,6,9,1
125,Everton,Norwich,0,A,0,0,D,7,7,3,5,480700000,152350000,19230000,6350000,27.3,27.6,1.53,2.5,1.36,5.1,8.0,A Taylor,7,13,1
126,Watford,Burnley,0,A,0,0,D,7,5,0,3,234000000,192750000,7550000,8030000,27.6,29.1,2.0,1.8,2.3,3.4,3.1,P Tierney,17,4,1
127,Man City,Chelsea,2,H,2,1,H,8,2,1,1,1300000000,844250000,52190000,32470000,27.4,26.3,1.4,3.0,1.44,5.0,6.5,M Atkinson,10,5,2
128,Sheffield United,Man United,3,D,1,0,H,6,3,1,2,119200000,744250000,4260000,29770000,28.3,25.8,2.2,1.66,3.5,3.4,2.1,A Marriner,14,11,2
129,Aston Villa,Newcastle,2,H,2,0,H,11,6,1,1,261900000,293830000,9700000,9180000,27.0,27.3,1.9,1.9,2.05,3.4,3.7,L Mason,1,12,2
130,Newcastle,Man City,2,D,1,1,D,1,10,1,2,293830000,1300000000,9180000,52190000,27.3,27.4,1.44,2.75,13.0,8.0,1.16,C Kavanagh,12,10,1
131,Burnley,Crystal Palace,0,A,0,1,A,5,6,2,0,192750000,232800000,8030000,9310000,29.1,28.8,2.2,1.66,2.25,3.25,3.3,P Bankes,4,6,0
132,Chelsea,West Ham,0,A,0,0,D,9,3,0,3,844250000,338750000,32470000,14110000,26.3,28.7,1.4,3.0,1.28,6.0,9.0,J Moss,5,18,1
133,Liverpool,Brighton,2,H,2,0,H,4,5,0,0,1190000000,214750000,46660000,8260000,27.9,27.8,1.44,2.75,1.18,7.0,15.0,M Atkinson,9,3,2
134,Tottenham,Bournemouth,3,H,1,0,H,4,8,0,2,977000000,343750000,36190000,11460000,26.4,26.0,1.53,2.5,1.36,5.5,7.5,L Mason,16,2,2
135,Southampton,Watford,2,H,0,1,A,6,7,1,0,227000000,234000000,9870000,7550000,25.9,27.6,1.9,1.9,2.1,3.4,3.5,M Oliver,15,17,0
136,Norwich,Arsenal,2,D,2,1,H,7,12,2,1,152350000,682750000,6350000,27310000,27.6,25.1,1.4,3.0,4.0,4.33,1.75,P Tierney,13,0,2
137,Wolves,Sheffield United,1,D,0,1,A,7,2,1,4,330800000,119200000,12720000,4260000,25.4,28.3,2.3,1.61,1.9,3.5,4.2,D Coote,19,14,0
138,Leicester,Everton,2,H,0,1,A,4,4,0,1,505250000,480700000,19430000,19230000,26.7,27.3,1.8,2.0,1.61,4.0,5.25,G Scott,8,7,0
139,Man United,Aston Villa,2,D,1,1,D,9,9,4,1,744250000,261900000,29770000,9700000,25.8,27.0,1.72,2.1,1.45,4.5,7.0,C Pawson,11,1,1
140,Crystal Palace,Bournemouth,1,H,0,0,D,6,9,3,3,232800000,343750000,9310000,11460000,28.8,26.0,2.0,1.8,2.2,3.4,3.25,A Taylor,6,2,1
141,Burnley,Man City,1,A,0,1,A,3,6,1,1,192750000,1300000000,8030000,52190000,29.1,27.4,1.44,2.75,11.0,7.0,1.22,J Moss,4,10,0
